Hari	Jam	SKPB Reguler	SKPB IUP	IF-101	IF-102	IF-103	IF-104	IF-105b	IF-105a	IF-106	IF-107a	IF-107b	IF-108 - IUP	LP-1	LP-2	IF-111 (PASCASARJANA)	IF-112 (PASCASARJANA)
	08.00 - 09.00		SEM 2	Sem 8/3 SKS/IM	Sem 2/3 SKS/DS	Sem 8/3 SKS/DP	Sem 4/4 SKS/RL	Sem 6/3 SKS/AW					Sem 4/3 SKS/JL	Sem 6/3 SKS/SA		Sem 1/3 SKS/NS	Sem 2/3 SKS/RA
	09.00 - 10.00		MATEMATIKA 2														
	10.00 - 11.00		SEM 2	Sistem Digital	Pengolahan Citra Digital	Sistem Operasi	Rekayasa Kebutuhan - EN	Penjaminan Mutu Perangkat Lunak	Analisis dan Perancangan Sistem Informasi	Pemrograman Berbasis Kerangka Kerja			Perancangan dan Analisis Algoritma - IUP		Pemrograman Jaringan	Topik Dalam Visi Komputer - A	Topik Dalam Jaringan Nirkabel - A
	11.00 - 12.00	AGAMA ISLAM		Sem 2/3 SKS/TA	Sem 6/3 SKS/HT	Sem 4/4 SKS/AM	Sem 6/4 SKS/RN	Sem 8/3 SKS/ST	Sem 4/4 SKS/SR	Sem 6/3 SKS/FB			Sem 4/4 SKS/AB		Sem 6/3 SKS/RM	Sem 2/3 SKS/NS	Sem 2/3 SKS/SD
	12.00 - 13.00	SEM 2															
	13.00 - 14.00			Sistem Digital	Rekayasa Kebutuhan - EN	Kecerdasan Buatan	Perancangan dan Analisis Algoritma	Rekayasa Kebutuhan	Analisis dan Perancangan Sistem Informasi	Deep Learning				Interaksi Manusia dan Komputer		Topik Dalam Rekayasa Sistem Berbasis Pengetahuan - A	Topik Dalam Penjaminan Kualitas Perangkat Lunak - A
	14.00 - 15.00			Sem 2/3 SKS/TA	Sem 6/4 SKS/RN	Sem 4/3 SKS/DA	Sem 4/4 SKS/RL	Sem 6/4 SKS/AL	Sem 4/4 SKS/SR	Sem 8/3 SKS/CF				Sem 6/3 SKS/SA		Sem 2/3 SKS/RS SC	Sem 2/3 SKS/ST
	15.00 - 16.00	MATEMATIKA 2	KEWARGANEGARAAN					Analisis dan Perancangan Sistem Informasi		Teknologi IoT			Teori Graf dan Otomata				
	16.00 - 17.00	SEM 2	SEM 2					Sem 4/4 SKS/FB		Sem 8/3 SKS/AM			Sem 6/3 SKS/Daz-Math				
	17.00 - 18.00																
	18.00 - 19.00													Topik Dalam Rekayasa Sistem Berbasis Pengetahuan - P	Topik Dalam Analisis Data Deret Waktu - P	Topik Dalam Pengaman Jaringan - P	Kecerdasan Komputasional - P
	19.00 - 20.30													Sem 2/3 SKS/RS SC	Sem 2/ 3 SKS/JL AS	Sem 2/3 SKS/BS	Sem 1/3 SKS/CF
																	
RABU	07.00 - 08.00	FISIKA 2			Struktur Data	Keamanan Informasi dan Jaringan - EN	Perancangan dan Analisis Algoritma	Teori Graf dan Otomata	Probabilitas dan Statistik	Analisis dan Perancangan Sistem Informasi			Interaksi Manusia dan Komputer - IUP	Interaksi Manusia dan Komputer - EN	Pemrograman Jaringan		Topik Dalam Analisis Data Deret Waktu - A
	08.00 - 09.00	SEM 2			Sem 2/3 SKS/AR	Sem 7/3 SKS/BS	Sem 4/4 SKS/RL	Sem 6/3 SKS/AW	Sem 4/3 SKS/BA	Sem 4/4 SKS/FB			Sem 6/3 SKS/AY	Sem 6/3 SKS/HF	Sem 6/3 SKS/HS		Sem 2/3 SKS/JL AS
	09.00 - 10.00		FISIKA 2														
	10.00 - 11.00		SEM 2	Sistem Digital	Manajemen Basis Data	Sistem Operasi	Kecerdasan Buatan	Pengantar Pengembangan Game	Tata Kelola Teknologi Informasi	Pemrograman Berbasis Kerangka Kerja			Rekayasa Kebutuhan -IUP	Pemrograman Jaringan - EN		Topik Dalam Pengolahan Citra Digital - A (EN)	
	11.00 - 12.00		WAWASAN DAN APLIKASI TEKNOLOGI	Sem 2/3 SKS/SD	Sem 4/3 SKS/SC	Sem 4/4 SKS/AM	Sem 4/3 SKS/NS	Sem 3/3 SKS/IM	Sem 8/3 SKS/AL	Sem 6/3 SKS/RJ			Sem 6/4 SKS/RN	Sem 6/3 SKS/BS		Sem 2/3 SKS/HT	
	12.00 - 13.00		SEM 8														
	13.00 - 14.00		AGAMA ISLAM	Audit Sistem	Struktur Data	Sistem Operasi	Kecerdasan Buatan	Analisis dan Perancangan Sistem Informasi	Probabilitas dan Statistik	Pemrograman Berbasis Kerangka Kerja			Pemrograman Web IUP - akselerasi				Topik Dalam Pengaman Jaringan - A
	14.00 - 15.00		SEM 2	Sem 8/3 SKS/RS - KR	Sem 2/3 SKS/AR	Sem 4/4 SKS/HS - BS	Sem 4/3 SKS/CF	Sem 4/4 SKS/ST	Sem 4/3 SKS/AS	Sem 6/3 SKS/FB			Sem 5/3 SKS/IS				Sem 2/3 SKS/TA
	15.00 - 16.00			Sistem Digital	Pengantar Sistem Cerdas		Perancangan dan Analisis Algoritma						Kecerdasan Buatan - IUP			Topik Dalam Analisis Data Geospasial 	
	16.00 - 17.00			Sem 2/3 SKS/WS	Sem 3/3 SKS/DA		Sem 4/4 SKS/AB						Sem 4/3 SKS/SC		 	Sem 2/3 SKS/HG	Komputasi Berbasis Jaringan - P
	17.00 - 18.00														 	 	Sem 1/3 SKS/TA AM
	18.00 - 19.00														Topik Dalam Rekayasa Kebutuhan - P	Topik Dalam Pengolahan Citra Digital - P	Topik Dalam Visi Komputer - P
	19.00 - 20.30														Sem 2/3 SKS/DO	Sem 2/3 SKS/AY	Sem 2/ 3 SKS/NS
																	
KAMIS	07.00 - 08.00			Forensik Digital	Struktur Data	Manajemen Basis Data	Perancangan dan Analisis Algoritma - EN	Teori Graf dan Otomata	Probabilitas dan Statistik	Pengembangan Analisis Algoritma			Pemrograman Jaringan - IUP			Topik Dalam Pengembangan Game, Realitas Virtual, dan Realitas Augmentasi - A	
	08.00 - 09.00			Sem 8/3 SKS/HS	Sem 2/3 SKS/DS	Sem 4/3 SKS/KR	Sem 4/4 SKS/IS	Sem 6/3 SKS/AW	Sem 4/3 SKS/BA	Sem 6/3 SKS/RL			Sem 6/3 SKS/BJ - HS			Sem 2/3 SKS/HF	
	09.00 - 10.00		MATEMATIKA 2														
	10.00 - 11.00		SEM 2	Kecerdasan Buatan	Manajemen Basis Data	Sistem Operasi	Kecerdasan Buatan - EN		Rekayasa Kebutuhan	Perancangan Keamanan Sistem dan Jaringan			Analisis dan Perancangan Sistem Informasi -IUP				
	11.00 - 12.00	KEWARGANEGARAAN		Sem 4/3 SKS/DA	Sem 4/3 SKS/RN	Sem 4/4 SKS/HS	Sem 4/3 SKS/AY		Sem 6/4 SKS/DO	Sem 8/3 SKS/BS			Sem 4/4 SKS/AL				
	12.00 - 13.00	SEM 2															
	13.00 - 14.00			Grafika Komputer - akselerasi						Pemrograman Berbasis Kerangka Kerja			Manajemen Basis Data - IUP				
	14.00 - 15.00			Sem 5/3 SKS/SA						Sem 6/3 SKS/RJ			Sem 4/3 SKS/MN - KR				
	15.00 - 16.00	MATEMATIKA 2			Data Mining	Sistem Operasi	Perancangan dan Analisis Algoritma	Teori Graf dan Otomata	Perancangan dan Analisis Algoritma - EN				Keamanan Informasi dan Jaringan - IUP				
	16.00 - 17.00	SEM 2			Sem 6/3 SKS/DA	Sem 4/4 SKS/WS	Sem 4/4 SKS/AB	Sem 6/3 SKS/VH	Sem 4/4 SKS/IS				Sem 7/3 SKS/BS			 	Topik Dalam Penjaminan Kualitas Perangkat Lunak - P
	17.00 - 18.00															 	Sem 2/3 SKS/ST
	18.00 - 19.00															Metodologi Penelitian - P	Topik Dalam Pengembangan Game, Realitas Virtual, dan Realitas Augmentasi - P
	19.00 - 20.30															Sem 2/3 SKS/AS	Sem 2/3 SKS/HF
																	
JUM'AT	07.00 - 08.00	BAHASA INGGRIS		Big Data	Dasar Pemrograman	Perancangan dan Analisis Algoritma - EN		Probabilitas dan Statistik	Rekayasa Kebutuhan				Matematika Diskrit - IUP			Metodologi Penelitian - A	
	08.00 - 09.00	SEM 2		Sem 8/3 SKS/MN	Sem 1/4 SKS/YP	Sem 4/4 SKS/IS		Sem 4/3 SKS/AW	Sem 6/4 SKS/DO				Sem 1/3 SKS/Daz-Math			Sem 2/3 SKS/BA	
	09.00 - 10.00	AGAMA NON ISLAM					Analisis Data Multivariat		Matematika Diskrit	Arsitektur Perangkat Lunak			Pemrograman Berbasis Kerangka Kerja - IUP				
	10.00 - 11.00	SEM 2	AGAMA NON ISLAM				Sem 6/3 SKS/AS		Sem 1/3 SKS/VH	Sem 6/3 SKS/RJ			Sem 6/3 SKS/MN				
	11.00 - 12.00		SEM 2														
	12.00 - 13.00																
	13.00 - 14.00				Struktur Data	Kecerdasan Buatan	Teori Graf dan Otomata	Probabilitas dan Statistik					Grafika Komputer IUP - akselerasi			Topik Dalam Grafika Komputer - DH	
	14.00 - 15.00				Sem 2/3 SKS/YP	Sem 4/3 SKS/DA	Sem 6/3 SKS/VH	Sem 4/3 SKS/AS					Sem 5/3 SKS/AY			Sem 2/3 SKS/DH	
	15.00 - 16.00			Sistem Digital						Rekayasa Kebutuhan							
	16.00 - 17.00			Sem 2/3 SKS/WS						Sem 6/4 SKS/UY							
	17.00 - 18.00																
	18.00 - 19.00															Metodologi Penelitian - P	Rekayasa Perangkat Lunak - P
	19.00 - 20.30															Sem 2/3 SKS/ DP	Sem 1/3 SKS/UY
